                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.7365,                0.83166,                 1.2496,                0.75382,                0.82472,                 0.8568,                0.70856,                0.78392,                 0.9057,                 1.1336,               0.006535,               0.006535,               0.006535
                     37,                 0.7266,                0.80243,                 1.2356,                0.79592,                0.85218,                0.88539,                0.73493,                0.75756,                0.81252,                 1.1088,               0.006436,               0.006436,               0.006436
                     38,                0.72931,                0.82254,                 1.2512,                0.68434,                0.59304,                0.69947,                0.55066,                0.91766,                 1.4667,                 1.2936,               0.006337,               0.006337,               0.006337
                     39,                0.71644,                0.80171,                 1.2333,                 0.7585,                0.82386,                0.87873,                0.73814,                 0.7272,                0.81455,                 1.0896,               0.006238,               0.006238,               0.006238
                     40,                0.70304,                0.77787,                 1.2171,                0.83905,                0.83476,                0.90705,                0.76611,                0.74005,                0.83527,                 1.0873,               0.006139,               0.006139,               0.006139
                     41,                0.69988,                0.77884,                  1.216,                0.81798,                0.78813,                0.88753,                0.74303,                0.72013,                0.82861,                 1.0899,                0.00604,                0.00604,                0.00604
                     42,                0.68873,                 0.7606,                 1.2077,                0.75369,                0.86734,                 0.8909,                0.75236,                0.72056,                0.81719,                 1.0744,               0.005941,               0.005941,               0.005941
                     43,                0.69777,                0.75254,                 1.2123,                0.54932,                0.62621,                0.59136,                0.46278,                0.99262,                 1.7507,                 1.3144,               0.005842,               0.005842,               0.005842
                     44,                0.67585,                0.73981,                 1.1932,                0.80426,                0.85424,                0.89738,                0.76972,                0.68394,                0.75251,                 1.0639,               0.005743,               0.005743,               0.005743
                     45,                 0.6801,                0.72665,                 1.1929,                0.80294,                0.87803,                0.91808,                0.77817,                0.68372,                0.66447,                 1.0695,               0.005644,               0.005644,               0.005644
                     46,                0.66678,                0.71988,                 1.1875,                0.84102,                0.84425,                0.89823,                 0.7696,                0.67344,                0.68676,                 1.0779,               0.005545,               0.005545,               0.005545
                     47,                0.68147,                0.71597,                 1.2043,                0.77284,                0.86454,                0.91645,                0.78844,                0.71141,                0.74319,                  1.055,               0.005446,               0.005446,               0.005446
                     48,                0.66337,                0.72429,                 1.1864,                0.60013,                0.74605,                0.75486,                0.61534,                0.78492,                 1.1008,                  1.139,               0.005347,               0.005347,               0.005347
                     49,                0.65939,                0.69725,                 1.1891,                0.84215,                0.84487,                 0.9027,                0.76468,                0.71456,                0.75718,                 1.0791,               0.005248,               0.005248,               0.005248
                     50,                  0.664,                 0.6978,                 1.1871,                0.77882,                0.88046,                0.92016,                0.78477,                0.68592,                0.67714,                 1.0652,               0.005149,               0.005149,               0.005149
                     51,                0.65804,                0.68597,                 1.1778,                0.79204,                0.83583,                0.88574,                0.76134,                0.69556,                0.72587,                 1.0657,                0.00505,                0.00505,                0.00505
                     52,                 0.6525,                0.69201,                 1.1834,                0.66954,                0.55898,                0.67283,                0.54164,                0.86941,                 1.5378,                 1.2762,               0.004951,               0.004951,               0.004951
                     53,                0.65307,                0.66563,                 1.1806,                0.82216,                0.83576,                0.89638,                0.77232,                0.69715,                0.67805,                 1.0871,               0.004852,               0.004852,               0.004852
                     54,                0.63597,                0.66434,                 1.1736,                0.85414,                0.80672,                0.90236,                0.75696,                0.71637,                0.82363,                 1.1145,               0.004753,               0.004753,               0.004753
                     55,                0.64236,                0.66698,                 1.1751,                0.84071,                0.88345,                0.90474,                0.77008,                0.68865,                0.67789,                 1.0622,               0.004654,               0.004654,               0.004654
                     56,                0.63585,                0.65825,                 1.1678,                0.74557,                0.90722,                 0.9105,                0.79256,                0.66444,                0.68176,                 1.0431,               0.004555,               0.004555,               0.004555
                     57,                0.62023,                   0.64,                 1.1593,                0.80836,                0.90834,                0.93812,                0.80664,                0.66863,                0.60454,                 1.0697,               0.004456,               0.004456,               0.004456
                     58,                0.63095,                0.63797,                 1.1708,                0.84329,                0.89041,                0.91218,                0.78789,                0.65263,                0.61961,                 1.0637,               0.004357,               0.004357,               0.004357
                     59,                0.61995,                0.63149,                 1.1581,                0.85055,                0.87802,                0.93445,                0.80831,                  0.682,                0.62997,                 1.0656,               0.004258,               0.004258,               0.004258
                     60,                0.61574,                0.61055,                 1.1502,                0.84172,                0.87488,                0.91303,                0.78794,                0.67414,                0.68079,                 1.0621,               0.004159,               0.004159,               0.004159
                     61,                0.60571,                 0.6104,                 1.1444,                0.73244,                0.86415,                0.87912,                0.73769,                0.72273,                0.82659,                 1.1064,                0.00406,                0.00406,                0.00406
                     62,                0.61472,                0.61483,                 1.1503,                0.81773,                 0.9032,                0.92381,                0.79779,                0.64157,                0.62469,                 1.0445,               0.003961,               0.003961,               0.003961
                     63,                0.60359,                 0.6201,                 1.1437,                 0.8078,                0.78733,                0.86232,                0.72733,                0.71705,                0.80006,                 1.1166,               0.003862,               0.003862,               0.003862
                     64,                0.60348,                0.60038,                 1.1408,                0.82611,                0.92001,                0.93293,                0.80665,                 0.6476,                0.59731,                 1.0447,               0.003763,               0.003763,               0.003763
                     65,                0.59677,                0.59074,                 1.1348,                0.77602,                0.92188,                0.92322,                0.79336,                0.67934,                0.60406,                 1.0824,               0.003664,               0.003664,               0.003664
                     66,                0.58759,                  0.581,                 1.1363,                0.79701,                0.91436,                0.92209,                0.79288,                0.66783,                0.59429,                 1.0837,               0.003565,               0.003565,               0.003565
                     67,                0.58514,                0.57723,                 1.1338,                0.89396,                0.89256,                0.94066,                0.81735,                0.64874,                0.55199,                 1.0505,               0.003466,               0.003466,               0.003466
                     68,                0.58832,                 0.5759,                 1.1278,                0.85645,                0.91483,                0.92243,                0.79389,                0.67533,                0.57752,                 1.0758,               0.003367,               0.003367,               0.003367
                     69,                0.58505,                0.57449,                 1.1294,                0.79677,                 0.9044,                0.91315,                0.78546,                0.66011,                0.60691,                 1.0616,               0.003268,               0.003268,               0.003268
                     70,                0.58109,                0.56762,                 1.1304,                0.83788,                0.86621,                0.91487,                0.78611,                0.64819,                0.62514,                  1.083,               0.003169,               0.003169,               0.003169
                     71,                0.57057,                0.54241,                 1.1085,                0.85959,                0.85891,                 0.9146,                0.79666,                0.65228,                0.57043,                 1.0603,                0.00307,                0.00307,                0.00307
                     72,                0.57782,                0.54157,                  1.122,                0.83625,                0.94214,                0.93433,                0.81736,                0.62836,                0.56011,                 1.0566,               0.002971,               0.002971,               0.002971
                     73,                0.56695,                0.54283,                 1.1235,                0.84893,                0.90867,                0.93589,                0.81894,                0.63515,                0.54961,                 1.0515,               0.002872,               0.002872,               0.002872
                     74,                0.56275,                0.53649,                  1.113,                0.83727,                 0.8869,                 0.9162,                0.79881,                0.66059,                0.55338,                  1.061,               0.002773,               0.002773,               0.002773
                     75,                 0.5556,                0.53299,                 1.1052,                 0.7767,                0.92897,                0.93532,                0.81617,                0.63694,                0.58678,                  1.066,               0.002674,               0.002674,               0.002674
                     76,                0.55071,                0.51752,                 1.1048,                 0.8262,                0.90461,                0.93401,                0.81697,                0.64506,                0.55055,                 1.0619,               0.002575,               0.002575,               0.002575
                     77,                0.54441,                0.51465,                 1.0991,                0.82215,                0.93652,                0.93955,                0.81803,                0.65123,                0.53348,                  1.061,               0.002476,               0.002476,               0.002476
                     78,                0.54695,                0.51563,                 1.1024,                0.79487,                0.93849,                 0.9215,                0.80277,                0.64922,                0.55772,                 1.0735,               0.002377,               0.002377,               0.002377
                     79,                0.55252,                0.51038,                 1.1011,                0.86299,                0.90707,                0.93975,                0.82128,                0.63251,                0.53358,                 1.0652,               0.002278,               0.002278,               0.002278
                     80,                0.54208,                0.50503,                 1.0994,                0.86289,                0.91101,                0.94444,                0.82796,                0.63281,                0.52111,                 1.0601,               0.002179,               0.002179,               0.002179
                     81,                0.53825,                0.50109,                 1.0934,                0.84715,                0.91439,                0.92947,                0.81028,                0.63107,                0.55048,                  1.048,                0.00208,                0.00208,                0.00208
                     82,                0.53507,                0.48501,                 1.0881,                0.87731,                0.89472,                 0.9466,                0.83124,                0.63268,                0.51958,                 1.0754,               0.001981,               0.001981,               0.001981
                     83,                0.53226,                  0.499,                 1.0947,                0.88395,                0.87363,                0.93722,                0.81613,                0.63886,                  0.522,                 1.0714,               0.001882,               0.001882,               0.001882
                     84,                0.52554,                0.48992,                 1.0883,                 0.8411,                0.93345,                0.93396,                 0.8242,                0.61804,                0.51727,                 1.0582,               0.001783,               0.001783,               0.001783
                     85,                0.52286,                 0.4849,                 1.0782,                0.85219,                 0.9102,                0.92796,                0.81695,                0.62105,                0.50618,                 1.0484,               0.001684,               0.001684,               0.001684
                     86,                0.52025,                0.48159,                 1.0863,                0.83405,                0.90854,                0.94025,                0.82785,                0.63353,                0.54799,                  1.065,               0.001585,               0.001585,               0.001585
                     87,                0.51595,                0.46378,                 1.0788,                0.83451,                0.92731,                0.94318,                0.83346,                0.63108,                0.52768,                 1.0575,               0.001486,               0.001486,               0.001486
                     88,                0.50892,                0.46035,                 1.0752,                0.89849,                0.90106,                0.94682,                0.83259,                0.63634,                0.52322,                 1.0671,               0.001387,               0.001387,               0.001387
                     89,                0.51918,                0.46257,                 1.0822,                0.84831,                 0.9455,                0.93244,                0.81765,                 0.6393,                0.50671,                 1.0644,               0.001288,               0.001288,               0.001288
